question,passage,idx,label,ds_type
can a social security number have 8 digits,"Social Security number -- The Social Security number is a nine-digit number in the format ``AAA-GG-SSSS''. The number is divided into three parts: the first three digits, known as the area number because they were formerly assigned by geographical region; the middle two digits, known as the group number; and the final four digits, known as the serial number.",269,0,train
has anyone won all four grand slam in one year,"Grand Slam (tennis) -- In terms of the current four majors, the first to win all four in a single year was Don Budge, who completed the feat in 1938. To date, 17 players have completed a Grand Slam, though only six in the most prestigious singles titles. Of these players, three have won multiple majors: Rod Laver accomplished the feat twice in men's singles; Margaret Court accomplished the feat three times, in two different disciplines -- once in women's singles and twice in mixed doubles; and Esther Vergeer completed a grand slam twice in Women's wheelchair doubles.",270,1,train
can you download itv hub on xbox 360,"ITV Hub -- ITV Hub was launched for Xbox One on Friday 10 February 2017, this was made possible by a new Universal Windows Platform app which integrates with Windows 10 and Xbox One. The STV Player app run by STV, who currently hold the ITV licence for Scotland, has been launched on Xbox 360. The STV Player app contains much of the content found on ITV Player and requires a Scottish postcode to be entered prior to use.",271,1,train
does a trapezoid have one set of parallel lines,"Trapezoid -- In Euclidean geometry, a convex quadrilateral with at least one pair of parallel sides is referred to as a trapezoid (/ˈtræpəzɔɪd/) in American and Canadian English but as a trapezium (/trəˈpiːziəm/) in English outside North America. The parallel sides are called the bases of the trapezoid and the other two sides are called the legs or the lateral sides (if they are not parallel; otherwise there are two pairs of bases). A scalene trapezoid is a trapezoid with no sides of equal measure, in contrast to the special cases below.",272,1,train
does prime minister have to be an mp,"Prime Minister of the United Kingdom -- The office is not established by any statute or constitutional document but exists only by long-established convention, which stipulates that the monarch must appoint as Prime Minister the person most likely to command the confidence of the House of Commons; this individual is typically the leader of the political party or coalition of parties that holds the largest number of seats in that chamber. The position of Prime Minister was not created; it evolved slowly and erratically over three hundred years due to numerous acts of Parliament, political developments, and accidents of history. The office is therefore best understood from a historical perspective. The origins of the position are found in constitutional changes that occurred during the Revolutionary Settlement (1688--1720) and the resulting shift of political power from the Sovereign to Parliament. Although the Sovereign was not stripped of the ancient prerogative powers and legally remained the head of government, politically it gradually became necessary for him or her to govern through a Prime Minister who could command a majority in Parliament.",273,0,train
can i use my veteran id to get on base,Veteran identification card -- The VIC differs from a Veteran Health Identification Card (VHIC) or a DoD Uniformed Services or retiree ID Card as it cannot be used as proof of eligibility for any federal benefits and does not grant access to military installations.,274,0,train
is it illegal to be in possession of alcohol under 21,"Minor in Possession -- In the United States, a Minor in Possession, or a MIP, (also referred to as a PAULA, Possession of Alcohol Under the Legal Age) is illegal, typically a misdemeanor. In California, depending on the county in which the person is charged, the crime may also be charged as an infraction. Anyone who is under the age of 21 and possesses alcohol in the United States, with the exception of special circumstances, is violating the law of the state.",275,1,train
is the 2017 chevy cruze front wheel drive,"Chevrolet Cruze -- The production Cruze had standard front-wheel drive, with all-wheel drive optional. Chevrolet pursued a marketing strategy that positioned the high-riding Cruze as a light-duty sport utility vehicle (SUV). This contrasted with Suzuki's approach with the Ignis marketed as a conventional passenger model. From 2003, Suzuki of Europe began manufacturing the Cruze as the Suzuki Ignis--representing a facelift of the original Ignis, but only for European markets.",276,1,train
can there be a beach on a lake,"Beach -- Although the seashore is most commonly associated with the word beach, beaches are also found by lakes and alongside large rivers.",277,1,train
does puerto rico have to follow us laws,"Implications of Puerto Rico's current political status -- Constitutionally, Puerto Rico is subject to the Congress' plenary powers under the territorial clause of Article IV, sec. 3, of the U.S. Constitution. U.S. federal law applies to Puerto Rico, even though Puerto Rico is not a state of the American Union and their residents have no voting representation in the U.S. Congress. Because of the establishment of the Federal Relations Act of 1950, all federal laws that are ``not locally inapplicable'' are automatically the law of the land in Puerto Rico. Following the 1950 and 1952 legislation, only two district court decisions have held that a particular federal law, which does not specifically exclude or treat Puerto Rico differently, is inapplicable to Puerto Rico. The more recent decision was vacated on appeal. Efrén Rivera Ramos, Dean and Professor of Law at the University of Puerto Rico School of Law, clarified the meaning of plenary powers, explaining, ``The government of a state derives its powers from the people of the state, whereas the government of a territory owes its existence wholly to the United States. The Court thus seems to equate plenary power to exclusive power. The U.S. government could exert over the territory power that it could not exercise over the states.'' Ramos quotes Justice Harlan, writing in Grafton v. United States, 206 U.S. 333 (1907), ``The jurisdiction and authority of the United States over that territory (referring to the Philippines) and its inhabitants, for all legitimate purposes of government is paramount,''. Ramos then goes on to argue ``This power, however, is not absolute, for it is restrained by some then-undefined fundamental rights possessed by anyone subject to the authority of the U.S. government.''",278,1,train
does every us citizen have a social security number,"Social Security number -- Social Security was originally a universal tax, but when Medicare was passed in 1965, objecting religious groups in existence prior to 1951 were allowed to opt out of the system. Because of this, not every American is part of the Social Security program, and not everyone has a number. However, a social security number is required for parents to claim their children as dependents for federal income tax purposes, and the Internal Revenue Service requires all corporations to obtain SSNs (or alternative identifying numbers) from their employees, as described below. The Old Order Amish have fought to prevent universal Social Security by overturning rules such as a requirement to provide a Social Security number for a hunting license.",279,0,train
can anything be faster than the speed of light,"Faster-than-light -- Faster-than-light (also superluminal or FTL) communication and travel refer to the propagation of information or matter faster than the speed of light. The special theory of relativity implies that only particles with zero rest mass may travel at the speed of light. Tachyons, particles whose speed exceeds that of light, have been hypothesized but the existence of such particles would violate causality and the consensus of physicists is that such particles cannot exist.",280,0,train
is there going to be a mr robot season 4,"Mr. Robot -- The pilot premiered on multiple online and video on demand services on May 27, 2015. The first season premiered on USA Network on June 24, 2015, and the second on July 13, 2016. The 10-episode third season premiered on October 11, 2017. In December 2017, Mr. Robot was renewed for a fourth season.",281,1,train
is it possible for an element to have different types of atoms,"Isotope -- The number of protons within the atom's nucleus is called atomic number and is equal to the number of electrons in the neutral (non-ionized) atom. Each atomic number identifies a specific element, but not the isotope; an atom of a given element may have a wide range in its number of neutrons. The number of nucleons (both protons and neutrons) in the nucleus is the atom's mass number, and each isotope of a given element has a different mass number.",282,1,train
is a cougar and a mountain lion the same thing,"Cougar -- The cougar (Puma concolor), also commonly known as the puma, mountain lion, panther, or catamount, is a large felid of the subfamily Felinae native to the Americas. Its range, from the Canadian Yukon to the southern Andes of South America, is the widest of any large wild terrestrial mammal in the Western Hemisphere. An adaptable, generalist species, the cougar is found in most American habitat types. It is the biggest cat in North America, and the second-heaviest cat in the New World after the jaguar. Secretive and largely solitary by nature, the cougar is properly considered both nocturnal and crepuscular, although daytime sightings do occur. The cougar is more closely related to smaller felines, including the domestic cat (subfamily Felinae), than to any species of subfamily Pantherinae, of which only the jaguar is native to the Americas.",283,1,train
does jimmy o die in sons of anarchy,"List of Sons of Anarchy characters -- James O'Phelan (Titus Welliver), better known as ``Jimmy O.,'' is the leader of the Real IRA group who sells guns to SAMCRO. Jimmy O. makes his first appearance in Season 2 to personally rectify the Hayes' betrayal of SAMCRO, since the Real IRA has long been dependent on the Sons Of Anarchy's Belfast chapter. Jimmy is generally regarded as Chibs Telford's archenemy. When the real IRA have proof of him going behind their backs, he takes Jax's son, Abel, to exchange for a safe passage back to the US. After a long hunt and search, SAMCRO finds out the Russians are hiding him. SAMCRO makes a deal to hand Jimmy over to them. When Agent Stahl gets custody of Jimmy O from SAMCRO, Chief Unser pulls them over with a ruse about Jimmy's members waiting ahead in a road block for them. With Stahl's other agents gone, Chibs & a few other members of SAMCRO show up by bus. Chibs pulls Jimmy O out of the car and slices his mouth, (in the same manner as Jimmy did him years before, scarring Chibs) and then stabs him to death.",284,1,train
is triamcinolone acetonide cream used to treat poison ivy,"Triamcinolone acetonide -- Triamcinolone acetonide as an intra-articular injectable has been used to treat a variety of musculoskeletal conditions. When applied as a topical ointment, applied to the skin, it is used to mitigate blistering from poison ivy, oak, and sumac, . When combined with Nystatin, it is used to treat skin infections with discomfort from fungus, though it should not be used on the eyes, mouth, or genital area. It provides relatively immediate relief and is used before using oral prednisone. Oral and dental paste preparations are used for treating aphthous ulcers.",285,1,train
will an xbox 360 game work on an xbox one,"List of backward compatible games for Xbox One -- During Microsoft's E3 2015 press conference on June 15, 2015, Microsoft announced plans to introduce Xbox 360 backward compatibility on the Xbox One at no additional cost. Supported Xbox 360 games will run within an emulator and have access to certain Xbox One features, such as recording and broadcasting gameplay. Games do not run directly from discs. A ported form of the game is downloaded automatically when a supported game is inserted, while digitally-purchased games will automatically appear for download in the user's library once available. As with Xbox One titles, if the game is installed using physical media, the disc is still required for validation purposes.",286,1,train
is there such thing as a jack rabbit,"Jackalope -- The jackalope is a mythical animal of North American folklore (a fearsome critter) described as a jackrabbit with antelope horns. The word ``jackalope'' is a portmanteau of ``jackrabbit'' and ``antelope'', although the jackrabbit is not a rabbit, and the pronghorn is not an antelope. Many jackalope taxidermy mounts, including the original, are made with deer antlers.",287,1,train
are they coming out with a new tinkerbell movie,"Tinker Bell (film series) -- In addition to Tinker Bell and the Legend of the NeverBeast, Disney also had plans for a seventh film. In 2014, The Hollywood Reporter stated that the seventh film was canceled due to story problems.",288,0,train
are cash money and money mart the same company,"Money Mart -- National Money Mart Company, commonly known as Money Mart, is a Canadian financial services company that provides payday loans, cheque cashing, tax preparation and money transfer services to the underbanked. It was founded in Edmonton, Alberta in 1982, and by 2010 it had 412 stores across Canada with an additional 53 franchised stores. The head office is located in Victoria, BC.",289,0,train
is it ok to eat cooking apples raw,Cooking apple -- It is often believed that eating cooking apples raw will make a person sick. In reality cooking apples are harmless raw and are just varieties of apples whose characteristics are well suited to cooking. This myth is simply a product of cooking apples' tart taste and the possibility of it not sitting well in the stomach.,290,1,train
does the texas flag fly at the same height as the american flag,"Flag of Texas -- The flag is required by law to be displayed on or near the main administration building of each state institution during each state or national holiday, and on any special occasion of historical significance, permanently above both doors of the Texas State Capitol, alone at the north door, and under the U.S. flag at the south door, with the exception being if the flags are at half mast or if the POW/MIA flag is being flown with the U.S. flag; in which event the Texas flag shall only fly at the North Door. State law also requires that the state flag be flown at or near any International Port of Entry. When displayed vertically, the blue stripe should be at top and, from the perspective of an observer, the white stripe should be to the left of the red stripe.",291,0,train
is it ordinary time in the catholic church,"Ordinary Time -- Ordinary Time resumes on the Monday following Solemnity of Pentecost, which is the Sunday between 10 May and 13 June that marks the 50th day of Easter. Ordinary Time concludes with the Saturday afternoon before the first Sunday of Advent (27 November to 3 December). Ordinary Time thus always includes the entire months of July, August, September and October and most or all of June and November. In some years, Ordinary Time includes a portion of May, or a day or two in early December, or both. The Catholic Church substitutes the Solemnity of Our Lord Jesus Christ the King of the Universe in the place of the 34th Sunday in Ordinary Time, the last Sunday of the season.",292,1,train
does borderlands 2 handsome collection have all dlc,"Borderlands: The Handsome Collection -- Borderlands: The Handsome Collection is a compilation of first-person shooter video games developed by Gearbox Software and published by 2K Games. The collection consists of ports of Borderlands 2 and Borderlands: The Pre-Sequel for PlayStation 4 and Xbox One, along with all of their accompanying downloadable content, enhanced local multiplayer, and the ability to transfer save data from their respective PlayStation 3/Vita and Xbox 360 versions.",293,1,train
is there going to be a season 3 of project runway junior,"Project Runway: Junior -- In May 2016, Lifetime renewed Project Runway: Junior for a second and third season in a deal with The Weinstein Company.",294,1,train
is transit aba number the same as routing number,"Routing transit number -- An ABA routing transit number (ABA RTN) is a nine digit code, used in the United States, which appears on the bottom of negotiable instruments such as cheques to identify the financial institution on which it was drawn. The ABA RTN was originally designed to facilitate the sorting, bundling, and shipment of paper cheques back to the drawer's (check writer's) account. As new payment methods were developed (ACH and Wire), the system was expanded to accommodate these payment methods.",295,1,train
is hashtag the same as the number sign,"Number sign -- Since 2007, widespread usage of the symbol to introduce metadata tags on social media platforms has led to such tags being known as ``hashtags'' and from that, the symbol itself is sometimes called a ``hashtag''.",296,1,train
does the f train stop at queens plaza,"Queens Plaza (IND Queens Boulevard Line) -- Queens Plaza is an express station on the IND Queens Boulevard Line of the New York City Subway. Located under the eastern edge of Queens Plaza at the large Queens Plaza interchange, it is served by the E train at all times, by the R train at all times except late nights, and by the M train on weekdays except late nights.",297,0,train
is there a difference between slugs and snails,"Snail -- Snail is a common name loosely applied to shelled gastropods. The name is most often applied to land snails, terrestrial pulmonate gastropod molluscs. However, the common name snail is also used for most of the members of the molluscan class Gastropoda that have a coiled shell that is large enough for the animal to retract completely into. When the word ``snail'' is used in this most general sense, it includes not just land snails but also numerous species of sea snails and freshwater snails. Gastropods that naturally lack a shell, or have only an internal shell, are mostly called slugs, and land snails that have only a very small shell (that they cannot retract into) are often called semi-slugs.",298,1,train
was the french quarter affected by hurricane katrina,"Effects of Hurricane Katrina in New Orleans -- In the City of New Orleans, the storm surge caused approximately 23 breaches in the drainage canal and navigational canal levees and floodwalls. As mandated in the Flood Control Act of 1965, responsibility for the design and construction of the city's levees belongs to the United States Army Corps of Engineers and responsibility for their maintenance belongs to the Orleans Levee Board. The failures of levees and floodwalls during Katrina are considered by experts to be the worst engineering disaster in the history of the United States. By August 31, 2005, 80% of New Orleans was flooded, with some parts under 15 feet (4.6 m) of water. The famous French Quarter and Garden District escaped flooding because those areas are above sea level. The major breaches included the 17th Street Canal levee, the Industrial Canal levee, and the London Avenue Canal floodwall. These breaches caused the majority of the flooding, according to a June 2007 report by the American Society of Civil Engineers. The flood disaster halted oil production and refining which increased oil prices worldwide.",299,0,train
can one point be in two different planes,"Plane (geometry) -- The remainder of the expression is arrived at by finding an arbitrary point on the line. To do so, consider that any point in space may be written as r = c 1 n 1 + c 2 n 2 + λ ( n 1 × n 2 ) (\displaystyle (\mathbf (r))=c_(1)(\mathbf (n))_(1)+c_(2)(\mathbf (n))_(2)+\lambda ((\mathbf (n))_(1)\times (\mathbf (n))_(2))) , since ( n 1 , n 2 , ( n 1 × n 2 ) ) (\displaystyle \((\mathbf (n))_(1),(\mathbf (n))_(2),((\mathbf (n))_(1)\times (\mathbf (n))_(2))\)) is a basis. We wish to find a point which is on both planes (i.e. on their intersection), so insert this equation into each of the equations of the planes to get two simultaneous equations which can be solved for c 1 (\displaystyle c_(1)) and c 2 (\displaystyle c_(2)) .",300,1,train
do professional soccer players play in the olympics,"Football at the Summer Olympics -- Because of the unusual format, several of the historically strongest men's national teams have unimpressive Olympic records. Uruguay won the tournament in their first two attempts, in 1924 and 1928, their only appearances before they qualified for the 2012 edition, after an 84-year absence. Argentina won silver twice (1928 and 1996) before the 2004 tournament, but its appearance in Athens, in which it won the first gold medal (the second was won in Beijing in 2008), was only their seventh overall (the eighth has been in 2016). Brazil's silver medals in the 1984, 1988 and 2012 editions were the best they had achieved until 2016's gold, and since professional athletes were allowed to compete, they failed to qualify in 1992 and 2004. Italy has only won the Olympic title once, in 1936, although it has also won two bronzes, and has the highest number of appearances in the tournament, at 15, with their last qualify in 2008. France has won the Olympic title only once (in 1984) and has failed to qualify since 1996. Germany's best result (before 2016 edition) was a single bronze medal, in 1988 (as West Germany), and the reunified team did not make an Olympic appearance until 2016, where they won silver. Spain has won the gold medal only once, in 1992. It has also won 2 silver medals (in 1920 and 2000) but has failed to qualify several times.",301,1,train
is the avengers and avengers assemble the same film,"The Avengers (2012 film) -- Marvel's The Avengers (classified under the name Marvel Avengers Assemble in the United Kingdom and Ireland), or simply The Avengers, is a 2012 American superhero film based on the Marvel Comics superhero team of the same name, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It is the sixth film in the Marvel Cinematic Universe (MCU). The film was written and directed by Joss Whedon and features an ensemble cast that includes Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, and Jeremy Renner as the titular Avengers team, alongside Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård, and Samuel L. Jackson. In the film, Nick Fury, director of the peacekeeping organization S.H.I.E.L.D., recruits Tony Stark, Captain America, the Hulk, and Thor to form a team that must stop Thor's brother Loki from subjugating Earth.",302,1,train
is there going to be a season 8 of rules of engagement,"Rules of Engagement (TV series) -- On May 10, 2013, Rules of Engagement was cancelled by CBS after seven seasons and 100 episodes. The series finale episode aired on May 20, 2013.",303,0,train
are liquor stores open on sunday in wv,"Alcohol laws of West Virginia -- Retail sale of beer and wine is prohibited on Sundays between 2:00 a.m. and 1:00 p.m. and between 2:00 a.m. and 7:00 a.m. on weekdays and Saturdays. Retail sale of liquor is prohibited on Sundays, Christmas Day, and between 12:00 midnight and 8:00 a.m on all other days.",304,1,train
is there still a royal family in spain,"Spanish royal family -- The House of Bourbon-Anjou (or simply House of Bourbon-Spain) is the current Spanish Royal Family. It consists of the present king, the queen consort, their children and the king's parents. The Spanish royal family belongs to the House of Bourbon.",305,1,train
is the limbic system the oldest part of the brain,"Limbic system -- Paul D. MacLean, as part of his triune brain theory, hypothesized that the limbic system is older than other parts of the forebrain, and that it developed to manage circuitry attributed to the fight or flight first identified by Hans Selye in his report of the General Adaptation Syndrome in 1936. It may be considered a part of survival adaptation in reptiles as well as mammals (including humans). MacLean postulated that the human brain has evolved three components, that evolved successively, with more recent components developing at the top/front. These components are, respectively:",306,1,train
are target and macy's owned by the same company,"Target Corporation -- Target Corporation is the second-largest department store retailer in the United States, behind Walmart, and is a component of the S&P 500 Index. Founded by George Dayton and headquartered in Minneapolis, Minnesota, the company was originally named Goodfellow Dry Goods in June 1902 before being renamed the Dayton's Dry Goods Company in 1903 and later the Dayton Company in 1910. The first Target store opened in Roseville, Minnesota in 1962 while the parent company was renamed the Dayton Corporation in 1967. It became the Dayton-Hudson Corporation after merging with the J.L. Hudson Company in 1969 and held ownership of several department store chains including Dayton's, Hudson's, Marshall Field's, and Mervyn's.",307,0,train
did bonnie blairs daughter make the olympic team,"Bonnie Blair -- Blair began dating fellow Olympic speed skater Dave Cruikshank in 1990. The pair married in Milwaukee, Wisconsin in 1996. Blair and Cruikshank have two children: a son, Grant, and daughter, Blair. As of 2018, Grant Cruikshank plays hockey in Canada. Blair Cruikshank competed at the 2018 United States Olympic speed skating trials at the 500 meter distance, held in Pettit National Ice Center.",308,0,train
is the baby in fuller house a twin,"List of Full House and Fuller House characters -- Tommy Fuller, Jr. (portrayed by twins, Dashiell and Fox Messitt) is D.J.'s youngest son. Like his aunt Michelle he also loses a parent as a baby.",309,1,train
was tom holland in amazing spider man 2,"The Amazing Spider-Man 2 -- The Amazing Spider-Man 2 was originally envisioned as the beginning of a shared fictional universe, which would have continued with two sequels and several spin-off films centered on Venom and the Sinister Six, among others. Due to its performing below expectations, all subsequent installments were cancelled and a new iteration of the character, portrayed by Tom Holland in the Marvel Cinematic Universe, began with the 2016 film Captain America: Civil War.",310,0,train
is stella the mother on how i met your mother,"List of How I Met Your Mother characters -- Ted has dated many people and been in several long-term relationships. Ted has an on-again, off-again relationship with Robin. Ted also dated Victoria, Stella, Zoey and Jeanette. Ted finally gets to meet his wife-to-be, Tracy, on the day of Barney and Robin's wedding, after accidentally teaching one of her college classes, owning her yellow umbrella for a short time, and dating her roommate. When he ran into Tracy's roommate (Cindy), it led to Tracy's band performing at Barney and Robin's wedding.",311,0,train
can an aftershock be stronger than an earthquake,"Aftershock -- An aftershock is a smaller earthquake that follows larger earthquake, in the same area of the main shock, caused as the displaced crust adjusts to the effects of the main shock. Large earthquakes can have hundreds to thousands of instrumentally detectable aftershocks, which steadily decrease in magnitude and frequency according to known laws. In some earthquakes the main rupture happens in two or more steps, resulting in multiple main shocks. These are known as doublet earthquakes, and in general can be distinguished from aftershocks in having similar magnitudes and nearly identical seismic waveforms.",312,0,train
are there any wild ravens in the uk,"Common raven -- Common ravens can thrive in varied climates; indeed this species has the largest range of any member of the genus, and one of the largest of any passerine. They range throughout the Holarctic from Arctic and temperate habitats in North America and Eurasia to the deserts of North Africa, and to islands in the Pacific Ocean. In the British Isles, they are more common in Scotland, Wales, northern England and the west of Ireland. In Tibet, they have been recorded at altitudes up to 5,000 m (16,400 ft), and as high as 6,350 m (20,600 ft) on Mount Everest. The population sometimes known as the Punjab raven--described as Corvus corax laurencei (also spelt lawrencii or laurencii) by Allan Octavian Hume but more often considered synonymous with subcorax--is restricted to the Sindh district of Pakistan and adjoining regions of northwestern India. They are generally resident within their range for the whole year. In his 1950 work, Grønlands Fugle (Birds of Greenland), noted ornithologist Finn Salomonsen indicated that common ravens did not overwinter in the Arctic. However, in Arctic Canada and Alaska, they are found year-round. Young birds may disperse locally.",313,1,train
is a hyundai genesis coupe a sports car,"Hyundai Genesis Coupe -- The Hyundai Genesis Coupé is a rear-wheel drive sports coupe from Hyundai Motor Company, released on October 13, 2008 for the Korean market. It is Hyundai's first rear-wheel drive sports coupe, and shares its basic platform with the Hyundai Genesis luxury sedan.",314,1,train
does a death certificate have to show cause of death,"Death certificate -- In the United States, certificates issued to the general public for deaths after 1990 may in some states be redacted to erase the specific cause of death (in cases where death was from natural causes) to comply with HIV confidentiality rules. In New York State, for instance, the cause of death on a general death certificate is only specified if death was accidental, homicide, suicide, or declared in absentia; all other deaths are only referred to as natural. All states have provisions, however, whereby immediate family members, law enforcement agencies, and governmental authorities (such as occupational health and safety groups) are able to obtain death certificates containing the full cause of death, even in cases of natural death.",315,0,train
is it legal to carry a gun in new hampshire,"Gun laws in New Hampshire -- Since 22 February 2017, New Hampshire is a constitutional carry state, requiring no license to open carry or concealed carry a firearm in public. Concealed carry permits are still issued for purposes of reciprocity with other states.",316,1,train
can you have identical twins that are different genders,"Twin -- Monozygotic twins are genetically nearly identical and they are always the same sex unless there has been a mutation during development. The children of monozygotic twins test genetically as half-siblings (or full siblings, if a pair of monozygotic twins reproduces with another pair or with the same person), rather than first cousins. Identical twins do not have the same fingerprints however, because even within the confines of the womb, the fetuses touch different parts of their environment, giving rise to small variations in their corresponding prints and thus making them unique.",317,0,train
is there a season 5 for the flash,"The Flash (season 5) -- The fifth season of the American television series The Flash, which is based on the DC Comics character Barry Allen / Flash, premiered on The CW on October 9, 2018 and is set to consist of 22 episodes. The season follows Barry, a crime scene investigator with superhuman speed who fights criminals, including others who have also gained superhuman abilities, as he deals with the consequences of his future daughter's time traveling. It is set in the Arrowverse, sharing continuity with the other television series of the universe, and is a spin-off of Arrow. The season is produced by Berlanti Productions, Warner Bros. Television, and DC Entertainment, with Todd Helbing serving as showrunner.",318,1,train
is the girl in the spiders web a sequel to the girl with the dragon tattoo,"The Girl in the Spider's Web -- In November 2015, Columbia Pictures announced a film adaptation by Steven Knight was in development. On November 2, 2016, Variety reported that Fede Álvarez would direct the film, a sequel to The Girl with the Dragon Tattoo. Unlike the previous books and film versions, The Girl in the Spider's Web will be the first in the best-selling series to be produced into an English-language film in its initial adaptation. TheWrap reported that Alicia Vikander was discussed as possibly taking over the role of Salander. However, while promoting Carol, Rooney Mara stated that she was still signed for the sequel: ``As far as I know I'm doing it until someone tells me otherwise (...) I'm doing it unless someone tells me that I'm not--and then I still might do it (anyway),'' she joked. Knight will serve as screenwriter, together with Alvarez and Jay Basu. In March 2017, it was confirmed that the film would have an entirely new cast and was scheduled to be released on October 5, 2018. In May 2017 Variety reported that Claire Foy is the top pick to on the main role. Scott Rudin, Søren Stærmose, Ole Søndberg, Amy Pascal, Elizabeth Cantillon, Eli Bush, and Berna Levin are to be producers; the executive producers are Anni Faurbye Fernandez, Line Winther Skyum Funch, Johannes Jensen, and David Fincher. David Beaubaire is overseeing for the studio. Sylvia Hoeks was cast in an undisclosed role in October 2017.",319,1,train
was the movie 300 based on real events,"Battle of Thermopylae -- The Battle of Thermopylae has remained a cultural icon of western civilization ever since it was fought. The battle is revisited in countless adages and works of popular culture, such as in films (e.g., The 300 Spartans (1962) and 300 (2007), based on the events during and close to the time of the battle), in literature, in song, in television programs, and in video games. The battle is also discussed in many articles and books on the theory and practice of warfare.",320,1,train
is great britain part of the european union,"Brexit -- Brexit (/ˈbrɛksɪt, ˈbrɛɡzɪt/) is the impending withdrawal of the United Kingdom (UK) from the European Union (EU). In a referendum on 23 June 2016, 51.9% of the participating UK electorate voted to leave the EU; the turnout was 72.2%. On 29 March 2017, the UK government invoked Article 50 of the Treaty on European Union. The European Union (Withdrawal) Act 2018 declares ``exit day'' to be 29 March 2019 at 11 pm UTC.",321,1,train
can you send an envelope without a return address,"Return address -- The return address is not required on postal mail. However, lack of a return address prevents the postal service from being able to return the item if it proves undeliverable; such as from damage, postage due, or invalid destination. Such mail may otherwise become dead letter mail.",322,1,train
is there going to be a season 5 of bates motel,"Bates Motel (season 5) -- The fifth and final season of Bates Motel premiered on February 20, 2017, and concluded on April 24, 2017. The season consisted of 10 episodes and aired on Mondays at 10 p.m. ET/PT on A&E. The series itself is described as a ``contemporary prequel'' to the 1960 film Psycho, following the life of Norman Bates and his mother Norma prior to the events portrayed in the Hitchcock film. However, the final season of the series loosely adapts the plot of Psycho. The series takes place in the fictional town of White Pine Bay, Oregon.",323,1,train
is canada in the united states of america,"Canada–United States relations -- Canada--United States relations refers to the bilateral relations between Canada and the United States of America. Relations between Canada and the United States of America historically have been extensive, given a shared border and ever-increasing close cultural, economical ties and similarities. The shared historical and cultural heritage has resulted in one of the most stable and mutually beneficial international relationships in the world. For both countries, the level of trade with the other is at the top of the annual combined import-export total. Tourism and migration between the two nations have increased rapport, but border security was heightened after the terrorist attacks in the United States on September 11, 2001. The U.S. is approximately 9.25 times larger in population and has the dominant cultural and economic influence. Starting with the American Revolution, when anti-American Loyalists fled to Canada, a vocal element in Canada has warned against US dominance or annexation. The War of 1812 saw invasions across the border. In 1815, the war ended with the border unchanged and demilitarized, as were the Great Lakes. The British ceased aiding First Nation attacks on American territory, and the United States never again attempted to invade Canada. Apart from minor raids, it has remained peaceful.",324,0,train
the main component of stomach acid is sulfuric acid,"Acid -- Common aqueous acids include hydrochloric acid (a solution of hydrogen chloride which is found in gastric acid in the stomach and activates digestive enzymes), acetic acid (vinegar is a dilute aqueous solution of this liquid), sulfuric acid (used in car batteries), and citric acid (found in citrus fruits). As these examples show, acids (in the colloquial sense) can be solutions or pure substances, and can be derived from acids (in the strict sense) that are solids, liquids, or gases. Strong acids and some concentrated weak acids are corrosive, but there are exceptions such as carboranes and boric acid.",325,1,train
can anyone have an out of body experience,"Out-of-body experience -- The term out-of-body experience was introduced in 1943 by G.N.M. Tyrrell in his book Apparitions, and was adopted by researchers such as Celia Green and Robert Monroe as an alternative to belief-centric labels such as ``astral projection'', ``soul travel'', or ``spirit walking''. OBEs can be induced by brain traumas, sensory deprivation, near-death experiences, dissociative and psychedelic drugs, dehydration, sleep, and electrical stimulation of the brain, among others. It can also be deliberately induced by some. One in ten people have an OBE once, or more commonly, several times in their life.",326,1,train
is it illegal to hack into someones phone,"Phone hacking -- Phone hacking, being a form of surveillance, is illegal in many countries unless it is carried out as lawful interception by a government agency. In the News International phone hacking scandal, private investigator Glenn Mulcaire was found to have violated the Regulation of Investigatory Powers Act 2000. He was sentenced to six months in prison in January 2007. Renewed controversy over the phone hacking claims led to the closure of the News of the World in July 2011.",327,1,train
does batman and harley quinn take place in the dcau,"DC animated universe -- On June 8, 2015, during an interview with Nerdist about his new film Justice League: Gods and Monsters, Bruce Timm was asked if the DC animated universe will return someday. Although Timm stated that the DCAU continuity was unlikely to return, the possibility always exists. In 2017, Bruce Timm confirmed that he considers the DC Universe Animated Original Movie Batman and Harley Quinn to be part of the DCAU canon. Warner Brothers has billed the movie stating ``Bruce Timm returns to his Batman: The Animated Series roots.'' DC has listed the film as a Batman: the Animated Series movie on their website and on the back of the trade collection of the movies tie-in comics stated ``Head back to the universe of Batman: The Animated Series in Batman and Harley Quinn''",328,1,train
can a 3 way bulb work in any lamp,"3-way lamp -- The two filaments can be activated separately or together, giving three different amounts of light. A typical 3-way incandescent bulb is a 50 W / 100 W / 150 W bulb. It has a low-power 50 W filament and a medium-power 100 W filament. When they are both energized at the same time, 150 W of power is delivered, and a high level of light is produced. Usually screw-base 3-way bulbs fit into regular Type A sockets. Larger 3-way bulbs (up to 300 W) have a larger ``mogul'' base. These 3 way bulbs can also come in spiral designs.",329,1,train
